location_id,statistic_zone_id,province_name,statistic_zone_name,municipality_slug,municipality_lat,municipality_lon,municipality_name
28155,08,Madrid,Sudeste Comunidad,valdaracete,40.2106498,-3.1949136,Valdaracete
28156,07,Madrid,Nordeste Comunidad,valdeavero,40.6336227,-3.3351139,Valdeavero
28157,08,Madrid,Sudeste Comunidad,valdelaguna,40.1616853,-3.3678641,Valdelaguna
28158,06,Madrid,Sierra Norte,valdemanco,40.8722993,-3.6629577,Valdemanco
28159,10,Madrid,Sierra Sur,valdemaqueda,40.5104708,-4.2974563,Valdemaqueda
28160,11,Madrid,Sierra Central,valdemorillo,40.4882928,-4.0337846,Valdemorillo
28161,04,Madrid,Sur Metropolitano,valdemoro,40.1912403,-3.6740182,Valdemoro
28162,07,Madrid,Nordeste Comunidad,valdeolmos-alalpardo,40.641084,-3.453025,Valdeolmos-Alalpardo
28163,07,Madrid,Nordeste Comunidad,valdepielagos,40.7608617,-3.4656137,Valdepiélagos
28164,07,Madrid,Nordeste Comunidad,valdetorres-de-jarama,40.6955184,-3.5129811,Valdetorres de Jarama
28165,08,Madrid,Sudeste Comunidad,valdilecha,40.2937839,-3.3023856,Valdilecha
28166,08,Madrid,Sudeste Comunidad,valverde-de-alcala,40.4190426,-3.2989252,Valverde de Alcalá
28167,03,Madrid,Este Metropolitano,velilla-de-san-antonio,40.3699557,-3.4864498,Velilla de San Antonio
28168,06,Madrid,Sierra Norte,vellon-el,40.4786715,-3.7341341,"Vellón, El"
28169,06,Madrid,Sierra Norte,venturada,40.7990504,-3.6224135,Venturada
28170,08,Madrid,Sudeste Comunidad,villaconejos,40.1044848,-3.4864498,Villaconejos
28171,09,Madrid,Sudoeste Comunidad,villa-del-prado,40.2774375,-4.3048305,Villa del Prado
28172,08,Madrid,Sudeste Comunidad,villalbilla,40.4329592,-3.3005573,Villalbilla
28173,08,Madrid,Sudeste Comunidad,villamanrique-de-tajo,40.068126,-3.2395077,Villamanrique de Tajo
28174,09,Madrid,Sudoeste Comunidad,villamanta,40.2986037,-4.1091663,Villamanta
28175,09,Madrid,Sudoeste Comunidad,villamantilla,40.3418042,-4.1302671,Villamantilla
28176,05,Madrid,Oeste Metropolitano,villanueva-de-la-canada,40.4481075,-3.9975566,Villanueva de la Cañada
28177,11,Madrid,Sierra Central,villanueva-del-pardillo,40.4932122,-3.964887,Villanueva del Pardillo
28178,09,Madrid,Sudoeste Comunidad,villanueva-de-perales,40.3453499,-4.1021346,Villanueva de Perales
28179,08,Madrid,Sudeste Comunidad,villar-del-olmo,40.3361286,-3.2360518,Villar del Olmo
