location_id,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados-ss,autonomos,empresas,personas-paradas,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-principales
28094,Navalafuente,navalafuente,40.8233408,-3.6748439,211,84,59,119,1266,24013,19707,1184,443
28074,Leganés,leganes,40.3319506,-3.7686545,51932,8486,9200,11934,187173,23661,19625,75514,70949
28150,Torrejón de Velasco,torrejon-de-velasco,40.1874784,-3.7752572,868,308,291,260,4243,23646,19642,1769,1417
28092,Móstoles,mostoles,40.3232129,-3.8676291,40674,9522,9280,13768,205614,22808,18976,79592,74951
28154,Torres de la Alameda,torres-de-la-alameda,40.4054714,-3.3615643,2850,548,560,610,7769,22749,18957,2940,2587
28095,Navalagamella,navalagamella,40.4685147,-4.1222221,289,141,112,187,2423,22183,18484,1403,850
28040,Ciempozuelos,ciempozuelos,40.157955,-3.6192473,6331,1084,1077,1566,23773,22005,18394,9767,8043
28084,Mejorada del Campo,mejorada-del-campo,40.396654,-3.4877129,5937,1389,1504,1592,22900,21957,18388,8502,7594
28174,Villamanta,villamanta,40.2986037,-4.1091663,452,171,151,165,2497,21630,18110,1232,875
28073,Humanes de Madrid,humanes-de-madrid,40.2639589,-3.8171953,9896,1155,2048,1464,19563,21031,17753,7075,6430
28035,Carabaña,carabana,40.2567009,-3.2376227,265,127,114,152,1948,20306,17245,1649,789
28146,Tielmes,tielmes,40.2475704,-3.3124535,579,140,112,216,2620,18939,16127,1466,953
28170,Villaconejos,villaconejos,40.1044848,-3.4864498,602,256,189,290,3350,17011,14913,1712,1248
28037,Cenicientos,cenicientos,40.2624728,-4.4658148,231,98,93,225,1986,15844,13896,1986,824
28020,Berzosa del Lozoya,berzosa-del-lozoya,40.9755539,-3.5236688,53,7,12,15,198,NA,NA,171,85
28034,Canencia,canencia,40.9070688,-3.7397005,100,37,33,30,451,NA,NA,692,217
28097,Navarredonda y San Mamés,navarredonda-y-san-mames,40.9906493,-3.7260317,20,13,12,4,132,NA,NA,323,81
28101,Olmeda de las Fuentes,olmeda-de-las-fuentes,40.3693459,-3.2212883,115,32,25,16,326,NA,NA,284,146
28117,Prádena del Rincón,pradena-del-rincon,41.0440748,-3.5404748,33,14,10,2,134,NA,NA,202,51
28143,Somosierra,somosierra,41.1330027,-3.5824103,25,8,5,5,77,NA,NA,98,43
28155,Valdaracete,valdaracete,40.2106498,-3.1949136,66,31,24,50,641,NA,NA,470,250
28157,Valdelaguna,valdelaguna,40.1616853,-3.3678641,92,35,52,70,841,NA,NA,728,319
28173,Villamanrique de Tajo,villamanrique-de-tajo,40.068126,-3.2395077,105,45,38,66,705,NA,NA,647,294
28001,"Acebeda, La",acebeda-la,40.3405608,-3.7170023,14,6,6,5,66,NA,NA,147,34
28003,Alameda del Valle,alameda-del-valle,40.9187866,-3.8439011,52,16,18,9,208,NA,NA,393,113
28039,Cervera de Buitrago,cervera-de-buitrago,40.9218597,-3.5300444,30,6,8,8,157,NA,NA,215,81
28062,Garganta de los Montes,garganta-de-los-montes,40.9220447,-3.6857781,75,37,30,19,351,NA,NA,658,179
28122,Ribatejada,ribatejada,40.6674275,-3.3930713,82,34,36,65,689,NA,NA,626,279
28128,Rozas de Puerto Real,rozas-de-puerto-real,40.3092383,-4.4922092,169,19,25,32,533,NA,NA,694,218
