location_id,municipality_name,Cluster,afiliados-ss,afiliados-ss_PCP,autonomos,autonomos_PCP,empresas,empresas_PCP,personas-paradas,personas-paradas_PCP,poblacion,renta-bruta-media,renta-disponible-media,viviendas-familiares,viviendas-familiares_PCP,viviendas-principales,viviendas-principales_PCP,stillworkers,total_workers,municipality_lat,municipality_lon,movingworkers,pob_psactiva,tasa_movilidad
28152,Torrelodones,0,6427,27.7948363101674,1956,8.4591099770791,2180,9.42784240799204,730,3.15702979717165,23123,45691,34248,8253,35.6917355014488,6962,30.1085499286425,1045,7109,40.5766078,-3.9293646,6064,7839,0.8530032353354903
28040,Ciempozuelos,3,6331,26.6310520338199,1084,4.55979472510832,1077,4.53034955621924,1566,6.58730492575611,23773,22005,18394,9767,41.0844235056577,8043,33.8324990535481,1936,7620,40.157955,-3.6192473,5684,9186,0.7459317585301837
28084,Mejorada del Campo,0,5937,25.9257641921397,1389,6.06550218340611,1504,6.56768558951965,1592,6.95196506550218,22900,21957,18388,8502,37.1266375545852,7594,33.1615720524017,1471,8259,40.396654,-3.4877129,6788,9851,0.8218912701295557
28104,Paracuellos de Jarama,0,5908,25.5713296398892,1475,6.38417590027701,1537,6.65252770083103,822,3.55782548476454,23104,37245,28974,7244,31.3538781163435,6976,30.1939058171745,1035,8846,40.5056034,-3.5302108,7811,9668,0.8829979651820031
28066,Griñón,0,5648,56.8323606359428,1067,10.7365667136245,1016,10.2233849869189,455,4.57838599315758,9938,28365,22799,3879,39.0319983900181,3185,32.048701952103,527,2860,40.2146067,-3.856943,2333,3315,0.8157342657342658
28061,Galapagar,0,5635,17.3898284162449,2428,7.49290211085051,2326,7.17812615726454,1784,5.50549314899395,32404,32007,25221,15187,46.8676706579435,11187,34.5235156153561,1440,10972,40.5768377,-4.0058027,9532,12756,0.8687568355814801
28083,Meco,3,5385,40.1087442276181,725,5.39997020706093,778,5.794726649784,855,6.36824072694771,13426,26285,21345,5222,38.8946819603754,4370,32.5487859377328,762,4438,40.5539468,-3.3263003,3676,5293,0.8283010365029293
28149,Torrejón de la Calzada,0,4979,60.9350140741647,742,9.08089585118101,662,8.1018235222127,455,5.56847387100722,8171,28127,22725,2786,34.0961938563211,2501,30.6082486843716,424,2671,40.1969481,-3.7981283,2247,3126,0.8412579558217896
28132,San Martín de la Vega,3,4494,23.9884701612042,1113,5.94106971282161,1116,5.95708337781574,1397,7.45702999893242,18734,22123,18511,7553,40.3170705668837,6736,35.9560158001495,1137,6176,40.2103049,-3.5787384,5039,7573,0.8159002590673575
28131,San Lorenzo de El Escorial,0,4463,24.7422108881251,1202,6.66370994567025,1278,7.08504268765939,890,4.93402816276749,18038,30038,23987,10030,55.6048342388291,7110,39.4167867834571,1535,5571,40.5932386,-4.1475748,4036,6461,0.7244659845629151
28002,Ajalvir,0,3995,89.9774774774775,278,6.26126126126126,597,13.4459459459459,192,4.32432432432432,4440,26525,21494,1564,35.2252252252252,1533,34.527027027027,417,1686,40.5302674,-3.4839237,1269,1878,0.7526690391459074
28129,San Agustín del Guadalix,0,3950,30.7106204322811,986,7.66599284714663,938,7.2928004975898,592,4.60270564453429,12862,39913,30395,4657,36.2074327476287,4186,32.5454828176022,860,4499,40.6809652,-3.6154482,3639,5091,0.808846410313403
28075,Loeches,0,3922,46.757272293753,601,7.16499761564139,668,7.96375774916547,564,6.7238912732475,8388,23749,19638,3563,42.4773485932284,2827,33.7029089175012,507,3025,40.3834821,-3.4170301,2518,3589,0.832396694214876
