location_id,stillworkers,total_workers,municipality_name,municipality_slug,municipality_lat,municipality_lon,afiliados_ss,autonomos,empresas,personas_paradas,poblacion,renta_bruta_media,renta_disponible_media,viviendas_familiares,viviendas_principales,movingworkers,pob_psactiva,tasa_movilidad
28115,6278,26615,Pozuelo de Alarcón,pozuelo-de-alarcon,40.4440049,-3.8056526,76433,7782,10154,2405,84989,61643,44415,29840,26769,20337,29020,0.7641179785835055
28116,16,379,Pozuelo del Rey,pozuelo-del-rey,40.3665441,-3.3206352,138,77,75,70,1073,22484,18762,579,408,363,449,0.9577836411609498
28117,6,39,Prádena del Rincón,pradena-del-rincon,41.0440748,-3.5404748,33,14,10,2,134,NA,NA,202,51,33,41,0.8461538461538461
28118,3,22,Puebla de la Sierra,puebla-de-la-sierra,41.0117046,-3.4451018,26,0,6,NA,66,NA,NA,171,52,19,NA,0.8636363636363636
28119,98,1060,Quijorna,quijorna,40.429024,-4.0567709,418,233,213,198,3239,26484,21691,1603,1172,962,1258,0.9075471698113208
28120,190,450,Rascafría,rascafria,40.9049836,-3.8795305,407,167,134,83,1692,24390,20573,1758,772,260,533,0.5777777777777777
28121,10,90,Redueña,reduena,40.8163179,-3.6032704,73,19,14,10,261,NA,NA,252,133,80,100,0.8888888888888888
28122,23,188,Ribatejada,ribatejada,40.6674275,-3.3930713,82,34,36,65,689,NA,NA,626,279,165,253,0.8776595744680851
28123,5658,31215,Rivas-Vaciamadrid,rivas-vaciamadrid,40.3519065,-3.5357334,22820,5747,5127,4176,82715,30744,24449,25374,24663,25557,35391,0.8187409899086977
28124,2,29,Robledillo de la Jara,robledillo-de-la-jara,40.9525839,-3.525304,7,0,0,3,99,NA,NA,191,46,27,32,0.9310344827586207
28125,264,1067,Robledo de Chavela,robledo-de-chavela,40.505008,-4.2345159,872,239,251,265,4001,25029,20517,3423,1459,803,1332,0.7525773195876289
28126,2,18,Robregordo,robregordo,41.10675,-3.5934508,7,0,0,1,45,NA,NA,159,40,16,19,0.8888888888888888
28127,7819,33117,"Rozas de Madrid, Las",rozas-de-madrid-las,40.3092383,-4.4922092,64154,7205,10409,3125,94471,46843,35058,35388,29873,25298,36242,0.7638976960473473
28128,39,129,Rozas de Puerto Real,rozas-de-puerto-real,40.3092383,-4.4922092,169,19,25,32,533,NA,NA,694,218,90,161,0.6976744186046512
28129,860,4499,San Agustín del Guadalix,san-agustin-del-guadalix,40.6809652,-3.6154482,3950,986,938,592,12862,39913,30395,4657,4186,3639,5091,0.808846410313403
28130,1808,16171,San Fernando de Henares,san-fernando-de-henares,40.4256038,-3.5318722,21403,2226,2589,2486,40095,23936,19724,15304,14596,14363,18657,0.8881949168264177
28131,1535,5571,San Lorenzo de El Escorial,san-lorenzo-de-el-escorial,40.5932386,-4.1475748,4463,1202,1278,890,18038,30038,23987,10030,7110,4036,6461,0.7244659845629151
28132,1137,6176,San Martín de la Vega,san-martin-de-la-vega,40.2103049,-3.5787384,4494,1113,1116,1397,18734,22123,18511,7553,6736,5039,7573,0.8159002590673575
28133,796,2002,San Martín de Valdeiglesias,san-martin-de-valdeiglesias,40.3635617,-4.4035034,1579,484,501,730,8344,20851,17501,5865,2908,1206,2732,0.6023976023976024
28134,7702,33926,San Sebastián de los Reyes,san-sebastian-de-los-reyes,40.5589672,-3.6261976,42115,5033,6545,4192,86206,31520,24786,32465,29710,26224,38118,0.7729764782172964
28135,54,277,Santa María de la Alameda,santa-maria-de-la-alameda,40.5963264,-4.2596149,212,116,89,102,1177,20612,17272,2488,517,223,379,0.8050541516245487
28136,22,223,Santorcaz,santorcaz,40.4720739,-3.2338527,78,44,41,49,851,NA,NA,576,322,201,272,0.9013452914798207
28137,77,741,"Santos de la Humosa, Los",santos-de-la-humosa-los,40.47294,-3.64942,281,141,115,162,2435,24756,20416,1185,854,664,903,0.8960863697705803
28138,2,30,"Serna del Monte, La",serna-del-monte-la,40.4724364,-3.7196632,27,10,12,5,77,NA,NA,113,41,28,35,0.9333333333333333
28140,100,1233,Serranillos del Valle,serranillos-del-valle,40.2056183,-3.8833494,1066,413,335,258,3990,25003,20571,1566,1163,1133,1491,0.9188969991889699
28141,380,2966,Sevilla la Nueva,sevilla-la-nueva,40.3473337,-4.0274014,1729,741,643,529,8905,26190,21296,4022,3033,2586,3495,0.8718813216453135
28143,4,28,Somosierra,somosierra,41.1330027,-3.5824103,25,8,5,5,77,NA,NA,98,43,24,33,0.8571428571428571
